week,platform,Notional USD Volume
2024-04-08 00:00:00,Crypto.com,632476
2024-04-08 00:00:00,Kalshi,6745101
2024-04-08 00:00:00,Polymarket,13677032.487705247
2024-04-15 00:00:00,Crypto.com,441389
2024-04-15 00:00:00,Kalshi,7765146
2024-04-15 00:00:00,Polymarket,12420335.770468295
2024-04-22 00:00:00,Crypto.com,517707
2024-04-22 00:00:00,Kalshi,6137716
2024-04-22 00:00:00,Limitless,2503.8708531721195
2024-04-22 00:00:00,Polymarket,12555815.473973405
2024-04-29 00:00:00,Crypto.com,470205
2024-04-29 00:00:00,Kalshi,6870328
2024-04-29 00:00:00,Limitless,5469.688722899924
2024-04-29 00:00:00,Polymarket,21745498.039587904
2024-05-06 00:00:00,Crypto.com,451600
2024-05-06 00:00:00,Kalshi,5567608
2024-05-06 00:00:00,Limitless,5288.7183661385825
2024-05-06 00:00:00,Polymarket,12762658.273258097
2024-05-13 00:00:00,Crypto.com,588462
2024-05-13 00:00:00,Kalshi,9446315
2024-05-13 00:00:00,Limitless,2274.22383103454
2024-05-13 00:00:00,Polymarket,17882890.08687573
2024-05-20 00:00:00,Crypto.com,669261
2024-05-20 00:00:00,Kalshi,6001300
2024-05-20 00:00:00,Limitless,1012.3419445391831
2024-05-20 00:00:00,Polymarket,32897781.741549976
2024-05-27 00:00:00,Crypto.com,545010
2024-05-27 00:00:00,Kalshi,6202782
2024-05-27 00:00:00,Limitless,1780.6020691777865
2024-05-27 00:00:00,Polymarket,34652016.17343802
2024-06-03 00:00:00,Crypto.com,521113
2024-06-03 00:00:00,Kalshi,7061985
2024-06-03 00:00:00,Limitless,32.05134458360496
2024-06-03 00:00:00,Other,254.08618160090447
2024-06-03 00:00:00,Polymarket,37660166.30238297
2024-06-10 00:00:00,Crypto.com,510262
2024-06-10 00:00:00,Kalshi,9048872
2024-06-10 00:00:00,Limitless,1032.3731656994219
2024-06-10 00:00:00,Other,679273.0137536537
2024-06-10 00:00:00,Polymarket,40345603.550452314
2024-06-17 00:00:00,Crypto.com,461042
2024-06-17 00:00:00,Kalshi,5531106
2024-06-17 00:00:00,Limitless,739.197781005912
2024-06-17 00:00:00,Other,1352600.9654178554
2024-06-17 00:00:00,Polymarket,42557204.59761641
2024-06-24 00:00:00,Crypto.com,510886
2024-06-24 00:00:00,Kalshi,7683018
2024-06-24 00:00:00,Limitless,995.3862166760628
2024-06-24 00:00:00,Other,1394218.981311467
2024-06-24 00:00:00,Polymarket,81460075.37423241
2024-07-01 00:00:00,Crypto.com,414842
2024-07-01 00:00:00,Kalshi,6711626
2024-07-01 00:00:00,Limitless,3265.178858520634
2024-07-01 00:00:00,Other,1789531.2597643584
2024-07-01 00:00:00,Polymarket,90056795.85345295
2024-07-08 00:00:00,Crypto.com,433580
2024-07-08 00:00:00,Kalshi,6612971
2024-07-08 00:00:00,Limitless,14713.349345910921
2024-07-08 00:00:00,Other,1381729.0544449391
2024-07-08 00:00:00,Polymarket,85376927.32611571
2024-07-15 00:00:00,Crypto.com,453414
2024-07-15 00:00:00,Kalshi,6176189
2024-07-15 00:00:00,Limitless,11347.343879802578
2024-07-15 00:00:00,Other,636470.7846585033
2024-07-15 00:00:00,Polymarket,199901580.1187507
2024-07-22 00:00:00,Crypto.com,427280
2024-07-22 00:00:00,Kalshi,6061251
2024-07-22 00:00:00,Limitless,22345.58846266931
2024-07-22 00:00:00,Other,837261.4918236857
2024-07-22 00:00:00,Polymarket,290626968.092454
2024-07-29 00:00:00,Crypto.com,517353
2024-07-29 00:00:00,Kalshi,7133914
2024-07-29 00:00:00,Limitless,5160.154242636396
2024-07-29 00:00:00,Other,1247812.0201782717
2024-07-29 00:00:00,Polymarket,237099244.66216248
2024-08-05 00:00:00,Crypto.com,501633
2024-08-05 00:00:00,Kalshi,5925308
2024-08-05 00:00:00,Limitless,22019.554613315082
2024-08-05 00:00:00,Other,946804.8082189264
2024-08-05 00:00:00,Polymarket,206402897.1905403
2024-08-12 00:00:00,Crypto.com,435552
2024-08-12 00:00:00,Kalshi,5876714
2024-08-12 00:00:00,Limitless,18059.66255190376
2024-08-12 00:00:00,Other,1595842.274889518
2024-08-12 00:00:00,Polymarket,156230122.26383138
2024-08-19 00:00:00,Crypto.com,448128
2024-08-19 00:00:00,Kalshi,4622923
2024-08-19 00:00:00,Limitless,7311.978564211311
2024-08-19 00:00:00,Other,1458493.0332184439
2024-08-19 00:00:00,Polymarket,229424991.6505708
2024-08-26 00:00:00,Crypto.com,365639
2024-08-26 00:00:00,Kalshi,4086777
2024-08-26 00:00:00,Limitless,327267.7391271633
2024-08-26 00:00:00,Other,1778281.08705647
2024-08-26 00:00:00,Polymarket,170916966.23366097
2024-09-02 00:00:00,Crypto.com,389277
2024-09-02 00:00:00,Kalshi,4359143
2024-09-02 00:00:00,Limitless,1977462.7102118097
2024-09-02 00:00:00,Other,1637955.6553019104
2024-09-02 00:00:00,Polymarket,179169675.66896272
2024-09-09 00:00:00,Crypto.com,414616
2024-09-09 00:00:00,Kalshi,5886476
2024-09-09 00:00:00,Limitless,2335155.1413582987
2024-09-09 00:00:00,Other,2125360.537650115
2024-09-09 00:00:00,Polymarket,198170419.90629658
2024-09-16 00:00:00,Crypto.com,457670
2024-09-16 00:00:00,Kalshi,5760199
2024-09-16 00:00:00,Limitless,2532690.8279240346
2024-09-16 00:00:00,Other,2896676.303012701
2024-09-16 00:00:00,Polymarket,180785074.5757283
2024-09-23 00:00:00,Crypto.com,554996
2024-09-23 00:00:00,Kalshi,4311963
2024-09-23 00:00:00,Limitless,2870382.6948279617
2024-09-23 00:00:00,Other,3111176.9292236436
2024-09-23 00:00:00,Polymarket,246265292.91409832
2024-09-30 00:00:00,Crypto.com,439841
2024-09-30 00:00:00,Kalshi,5290382
2024-09-30 00:00:00,Limitless,4020671.8070582696
2024-09-30 00:00:00,Other,3113115.855708821
2024-09-30 00:00:00,Polymarket,574014825.6289338
2024-10-07 00:00:00,Crypto.com,433982
2024-10-07 00:00:00,Kalshi,13740138
2024-10-07 00:00:00,Limitless,5795659.684217782
2024-10-07 00:00:00,Other,6389307.114904337
2024-10-07 00:00:00,Polymarket,811644357.405094
2024-10-14 00:00:00,Crypto.com,492223
2024-10-14 00:00:00,Kalshi,47437496
2024-10-14 00:00:00,Limitless,6512321.280599535
2024-10-14 00:00:00,Other,9235264.478411037
2024-10-14 00:00:00,Polymarket,890073919.2381443
2024-10-21 00:00:00,Crypto.com,443810
2024-10-21 00:00:00,Kalshi,100976912
2024-10-21 00:00:00,Limitless,5799219.330637826
2024-10-21 00:00:00,Other,14322499.136863962
2024-10-21 00:00:00,Polymarket,1240887102.0802145
2024-10-28 00:00:00,Crypto.com,534566
2024-10-28 00:00:00,Kalshi,238264428
2024-10-28 00:00:00,Limitless,4209235.982108715
2024-10-28 00:00:00,Other,136427012.20551708
2024-10-28 00:00:00,Polymarket,1279464939.043358
2024-11-04 00:00:00,Crypto.com,713810
2024-11-04 00:00:00,Kalshi,749960304
2024-11-04 00:00:00,Limitless,5758600.459899673
2024-11-04 00:00:00,Other,441836326.40692675
2024-11-04 00:00:00,Polymarket,1231419147.1152103
2024-11-11 00:00:00,Crypto.com,1062383
2024-11-11 00:00:00,Kalshi,201070993
2024-11-11 00:00:00,Limitless,6784686.362645226
2024-11-11 00:00:00,Other,23230777.704742104
2024-11-11 00:00:00,Polymarket,728972374.7910813
2024-11-18 00:00:00,Crypto.com,1028973
2024-11-18 00:00:00,Kalshi,127196751
2024-11-18 00:00:00,Limitless,5232326.670673906
2024-11-18 00:00:00,Other,9322021.987109289
2024-11-18 00:00:00,Polymarket,558989131.8217986
2024-11-25 00:00:00,Crypto.com,814341
2024-11-25 00:00:00,Kalshi,73346838
2024-11-25 00:00:00,Limitless,8443532.657871569
2024-11-25 00:00:00,Other,8691271.31889186
2024-11-25 00:00:00,Polymarket,556374763.5437212
2024-12-02 00:00:00,Crypto.com,899710
2024-12-02 00:00:00,Kalshi,79089255
2024-12-02 00:00:00,Limitless,7948239.61620505
2024-12-02 00:00:00,Other,6909634.246601923
2024-12-02 00:00:00,Polymarket,676636808.6240612
2024-12-09 00:00:00,Crypto.com,908909
2024-12-09 00:00:00,Kalshi,52298975
2024-12-09 00:00:00,Limitless,7101258.68310936
2024-12-09 00:00:00,Other,5051974.070174428
2024-12-09 00:00:00,Polymarket,562729649.613293
2024-12-16 00:00:00,Crypto.com,804000
2024-12-16 00:00:00,Kalshi,48998815
2024-12-16 00:00:00,Limitless,6731946.450024274
2024-12-16 00:00:00,Other,4351394.647259925
2024-12-16 00:00:00,Polymarket,773867076.8987242
2024-12-23 00:00:00,Crypto.com,577792
2024-12-23 00:00:00,Kalshi,28069797
2024-12-23 00:00:00,Limitless,8348440.489489225
2024-12-23 00:00:00,Other,3889838.51119657
2024-12-23 00:00:00,Polymarket,881815833.9494522
2024-12-30 00:00:00,Crypto.com,543989
2024-12-30 00:00:00,Kalshi,33972725
2024-12-30 00:00:00,Limitless,7388490.015694687
2024-12-30 00:00:00,Other,4510324.72383399
2024-12-30 00:00:00,Polymarket,854354366.5915502
2025-01-06 00:00:00,Crypto.com,573826
2025-01-06 00:00:00,Kalshi,31503973
2025-01-06 00:00:00,Limitless,9455403.88365212
2025-01-06 00:00:00,Other,4117146.6699790726
2025-01-06 00:00:00,Polymarket,498113289.73989636
2025-01-13 00:00:00,Crypto.com,610536
